alderis uci analysis language for distributed embedded and real time system	4 5 6 7 8 9 10 
alderis uci	4 5 6 7 8 9 10 
descript	9 4 6 
link	4 5 6 7 8 9 10 
analysis language for distributed embedded and real time system	4 5 6 7 8 9 10 
you	10 4 7 
can	8 9 4 6 
find	4 6 8 9 10 
some	4 
pointer	4 
to	4 6 7 8 9 10 
relat	9 4 6 
research	4 
group	4 
here	4 
the	4 5 6 7 8 9 10 
alderi	4 6 7 9 10 
project	9 4 6 
is	4 5 6 7 8 9 10 
host	9 4 6 
at	4 6 7 9 10 
center	9 4 6 
for	4 5 6 7 8 9 
embed	4 5 6 7 9 
comput	4 5 6 7 9 
system	4 5 6 7 8 9 10 
univers	9 4 6 
of	4 5 6 7 8 9 
california	9 4 6 
irvin	9 4 6 
under	4 
supervis	4 
nikil	4 5 6 8 9 
dutt	4 5 6 8 9 
we	4 5 6 7 8 9 10 
are	4 5 6 7 8 9 
also	9 4 6 
collabor	4 
with	4 5 6 7 8 9 
from	4 5 6 7 9 
distribut	4 5 6 7 8 9 
middlewar	4 7 
and	4 5 6 7 8 9 10 
doc	4 
uci	10 4 7 
isi	10 4 5 
vanderbilt	4 
languag	4 6 7 8 9 10 
be	4 5 6 7 8 9 
analyz	8 4 
use	4 5 6 7 8 9 10 
open sourc	4 5 6 9 10 
dream	4 5 6 9 10 
tool.	4 
uppaal	4 5 6 7 9 
model	4 5 6 7 8 9 10 
checker	4 5 6 7 9 
verimag	9 4 5 6 
if	4 5 6 7 9 10 
toolset	9 4 5 6 
formal	4 5 6 8 9 
verif	4 5 6 9 10 
origin	4 
design	8 9 4 6 
websit	4 5 6 7 8 9 10 
ha	9 4 6 7 
been	4 7 
creat	10 4 
by	4 5 6 7 8 9 
jaykay	4 
all	4 5 6 7 8 9 10 
materi	4 5 6 7 8 9 10 
publish	4 5 6 7 8 9 10 
on	4 5 6 7 8 9 10 
thi	4 5 6 7 8 9 10 
copyright	4 5 6 7 8 9 10 
right	4 5 6 7 8 9 10 
reserv	4 5 6 7 8 9 10 
download	4 5 6 7 8 9 10 
public	4 5 6 7 8 9 10 
dre	4 5 6 7 8 9 10 
amba	4 5 6 7 8 9 10 
home	4 5 6 7 8 9 10 
publications directly related to alderis and dream	5 
journal	5 
confer	5 
workshop	5 
technical report	5 
poster	5 
follow	5 6 7 8 9 
cover	8 9 5 6 
they	8 5 
provid	5 6 7 8 9 
