michael carey	13 
vassilis tsotra	13 
nalini venkatasubramanian	13 
vagelis hristidi	13 
yusuf sawar	13 
ian maxon	13 
raman grov	13 
steven jacob	13 
asterixdb team	13 
faculti	13 
staff	13 
phd student	13 
asterixdb.ics.uci.edu	13 14 15 19 26 
2015 design	13 14 15 19 26 
by	13 14 15 16 17 18 19 21 22 25 26 
free	13 14 15 19 26 
css	13 14 15 19 26 
templat	13 14 15 19 26 
overview	13 14 15 19 21 26 
public	13 14 15 17 18 19 20 21 23 24 26 
talk	13 14 15 19 20 26 
team	13 14 15 19 26 
nsf	13 14 15 16 17 18 19 20 23 24 26 
award	13 14 15 16 17 18 19 20 23 24 26 
asterix talk	14 
big	14 15 17 18 19 20 24 26 
nosql	26 19 14 15 
data	14 15 16 17 18 19 20 21 22 24 26 
apach	14 17 18 20 21 22 23 24 
asterixdb	14 15 17 18 19 20 23 24 26 
and	14 15 16 17 18 19 20 21 22 23 24 25 26 
beyond	14 
keynot	20 14 
2018	24 19 14 
intern	19 20 14 
confer	19 20 14 
on	14 15 16 17 18 19 20 21 22 24 26 
comput	14 17 18 19 20 
network	14 
commun	14 15 17 18 26 
icnc	14 
maui	14 
hawaii	20 14 
march	16 25 20 14 
m	19 20 14 
carey	16 19 20 14 
infrastructur	24 14 
research	14 15 17 18 26 
at	14 15 17 18 21 22 25 26 
uci	14 
ucr	14 
teradata	14 
lab	14 
rancho	14 
bernardo	14 
ca	19 20 14 
januari	19 20 14 
c	19 20 14 
li	14 16 19 20 24 
a	14 15 16 17 18 19 20 21 22 24 26 
eldawi	14 
break	19 14 
bad	24 19 14 
serv	19 14 
for	14 15 16 17 18 19 20 21 22 24 25 26 
activ	14 15 17 18 19 24 26 
2017	24 19 20 14 
ieee	19 20 14 
semant	14 
san	17 18 14 
diego	17 18 14 
februari	14 
distinguish	14 
lectur	14 
ibm	14 
research india	14 
delhi	20 14 
india	20 14 
septemb	20 14 
2016	24 19 20 14 
infosi	14 
richnot	19 14 
adapt	19 14 
select	24 19 20 14 
deliveri	26 19 14 15 
of	14 15 16 17 18 19 20 21 22 23 24 26 
rich	19 14 
media	24 19 14 
notif	19 14 
to	14 15 16 17 18 19 20 21 22 23 25 26 
mobil	26 19 14 15 
user	14 15 19 21 26 
icdc	19 14 
nara	19 14 
japan	19 14 
june	19 20 14 
n	19 20 21 14 
venkatasubramanian	19 14 
counter	14 
but	14 
intuit	14 
approach	14 16 17 18 20 24 
manag	14 15 17 18 19 20 24 26 
norwegian	14 
univers	14 17 18 20 21 22 23 24 
scienc	14 
technology,	14 
trondheim	14 
norway	14 
may	14 17 18 21 22 
us	26 14 15 
armi	14 
laboratori	14 
arl	14 
aberdeen	14 
prove	14 
ground	14 
md	14 
april	16 25 20 14 
nasa	14 
jet	14 
propuls	14 
pasadena	14 
decemb	20 14 
2015	24 19 20 14 
cs	19 14 
depart	19 14 
univ	14 
southern	14 
california	14 17 18 20 21 22 23 24 
lo	14 
angel	14 
novemb	14 
brazilian	14 
databas	14 15 17 18 19 20 24 26 
symposium	20 14 
sbbd	14 
petropoli	14 
brazil	14 
octob	20 14 
resili	14 
depend	14 
in	14 15 16 17 18 19 20 21 22 23 24 25 26 
challeng	26 14 15 
environ	14 
nii	14 
shonan	14 
meet	14 
opportun	20 14 
disast	14 
recoveri	14 
villag	14 
center	14 
address	14 15 17 18 26 
itaipava	14 
rio	14 
de	14 
janeiro	14 
27th	14 
intl	19 20 14 
conf	14 19 20 21 22 
scientif	19 14 
statist	19 14 
making big data active from petabytes to megafolks in millisecond	26 15 
first gener	26 15 
effort	15 17 18 23 26 
have	15 21 22 23 26 
given	26 15 
mapreduce bas	26 15 
framework	15 16 20 24 26 
such	26 15 
as	15 16 17 18 21 22 26 
hadoop	15 16 17 18 21 26 
pig	15 17 18 20 26 
hive	17 18 26 15 
most	16 26 15 
recent	26 15 
spark	26 20 15 
that	15 17 18 21 22 23 26 
focu	26 15 
after the fact	26 15 
analyt	24 26 20 15 
key valu	26 15 
store	17 18 26 15 
provid	26 21 15 
scalabl	15 17 18 19 20 24 26 
key bas	26 15 
record	16 26 21 15 
storag	15 17 18 19 20 26 
retriev	26 15 
hand	26 15 
special	26 20 15 
system	15 17 18 19 20 24 26 
target	17 18 26 15 
problem	17 18 26 15 
like	26 15 
parallel	15 16 17 18 19 20 24 25 26 
graph	24 26 20 15 
stream	26 15 
analysi	24 26 20 15 
thi	15 16 17 18 21 22 26 
project	15 17 18 21 23 26 
aim	17 18 26 15 
continu	26 15 
reliabl	26 15 
captur	17 18 26 15 
aris	26 15 
from	15 16 17 18 24 26 
social	24 26 19 15 
web	26 20 15 
sens	26 15 
sourc	15 17 18 19 20 21 26 
enabl	26 15 
time	15 19 20 21 26 
inform	15 17 18 20 21 26 
with	15 17 18 19 20 21 22 26 
